Region of Birth,2015,2016,2017
      Total,"1,051,031","1,051,031","1,051,031"
Africa,"101,415","101,415","101,415"
Asia,"419,297","419,297","419,297"
Europe,"85,803","85,803","85,803"
North America,"366,126","366,126","366,126"
Oceania,"5,404","5,404","5,404"
South America,"72,309","72,309","72,309"
Unknown,677,677,677
