Region of Birth,2015,2016,2017
      Total,"1,051,031","1,183,505","1,127,167"
Africa,"101,415","113,426","118,824"
Asia,"419,297","462,299","424,743"
Europe,"85,803","93,567","84,335"
North America,"366,126","427,293","413,650"
Oceania,"5,404","5,588","5,071"
South America,"72,309","79,608","79,076"
Unknown,677,"1,724","1,468"
